Num_Acc,date,an,mois,jour,hrmn,com,lat,long,grav
200500000800,2005-01-06,2005,janvier,jeudi,16:15,69074,46.012,4.65,3
200500000811,2005-01-08,2005,janvier,samedi,15:30,69050,45.874,4.656,4
200500000811,2005-01-08,2005,janvier,samedi,15:30,69050,45.874,4.656,4
200500012849,2005-03-21,2005,mars,lundi,18:30,69271,45.744,4.955,4
200500023519,2005-04-03,2005,avril,dimanche,18:30,69094,45.744,4.692,3
200500048797,2005-08-27,2005,août,samedi,11:45,69178,45.696,4.44,3
200500048809,2005-08-23,2005,août,mardi,19:00,69209,46.237,4.488,4
200600016046,2006-03-04,2006,mars,samedi,11:00,69050,45.87,4.65,3
200600046829,2006-08-31,2006,août,jeudi,18:00,69081,45.78,4.785,3
200600058932,2006-10-05,2006,octobre,jeudi,07:00,69288,45.687,5.037,3
200600071953,2006-11-13,2006,novembre,lundi,07:45,69204,45.693,4.789,2
200700019125,2007-04-18,2007,avril,mercredi,15:30,69094,45.745,4.694,1
200700019135,2007-04-02,2007,avril,lundi,13:45,69019,46.11,4.75,4
200700020200,2007-04-20,2007,avril,vendredi,18:15,69081,45.785,4.79,3
200700025909,2007-05-10,2007,mai,jeudi,19:45,69019,46.11,4.72,3
200700032770,2007-06-06,2007,juin,mercredi,17:15,69176,45.672,4.697,3
200700032779,2007-06-28,2007,juin,jeudi,13:30,69019,46.1,4.73,3
200700060563,2007-10-25,2007,octobre,jeudi,16:30,69089,45.743,4.771,3
200800001458,2008-01-23,2008,janvier,mercredi,07:15,69260,45.65,4.817,4
200800006423,2008-02-13,2008,février,mercredi,17:15,69069,45.739,4.713,3
200800006423,2008-02-13,2008,février,mercredi,17:15,69069,45.739,4.713,3
200800028313,2008-05-06,2008,mai,mardi,17:45,69289,45.65,5.018,3
201000006938,2010-10-06,2010,octobre,mercredi,08:45,69204,45.7,4.824,3
201000006954,2010-06-29,2010,juin,mardi,11:30,69273,45.677,4.89999,3
201000007051,2010-11-13,2010,novembre,samedi,14:45,69236,45.569,4.701,3
201000007067,2010-06-06,2010,juin,dimanche,12:45,69126,45.92,4.689,3
201000007075,2010-09-16,2010,septembre,jeudi,17:15,69140,45.908,4.702,3
201000007089,2010-09-19,2010,septembre,dimanche,18:00,69267,46.17,4.701,3
201000007150,2010-08-08,2010,août,dimanche,18:15,69060,46.103,4.491,4
201000041381,2010-10-21,2010,octobre,jeudi,08:40,69096,45.6101,4.77823,4
